Churn,tenure,Contract,MonthlyCharges
False,9,"One year",65.600
False,9,"Month-to-month",59.900
True,4,"Month-to-month",73.900
True,13,"Month-to-month",98.000
True,3,"Month-to-month",83.900
False,9,"Month-to-month",69.400
False,71,"Two year",109.700
False,63,"Two year",84.650
False,7,"Month-to-month",48.200
False,65,"Two year",90.450
False,54,"Two year",45.200
False,72,"Two year",116.800
False,5,"Month-to-month",68.950
False,72,"Two year",101.300
False,56,"Two year",45.050
False,71,"Two year",95.750
False,34,"One year",61.250
False,1,"Month-to-month",72.100
True,45,"One year",62.700
True,1,"Month-to-month",25.100
False,50,"One year",25.200
True,13,"Month-to-month",94.100
False,23,"Month-to-month",83.750
False,3,"Month-to-month",19.850
True,4,"Month-to-month",20.350
True,1,"Month-to-month",30.500
False,55,"One year",103.700
False,54,"Two year",20.400
False,26,"One year",19.600
False,69,"Two year",19.700
False,37,"One year",91.200
False,49,"One year",20.450
False,66,"One year",115.800
False,67,"One year",20.550
False,20,"Two year",39.400
False,43,"Two year",25.100
False,55,"Month-to-month",89.800
False,59,"Month-to-month",94.750
False,12,"Two year",20.300
False,27,"Month-to-month",75.750
True,2,"Month-to-month",49.250
False,27,"One year",78.200
False,25,"Two year",25.500
False,25,"One year",61.600
False,29,"Month-to-month",45.000
False,72,"Two year",85.150
False,14,"One year",51.450
False,35,"One year",99.250
False,1,"Month-to-month",44.300
False,29,"Month-to-month",94.200
False,64,"One year",81.250
False,39,"Month-to-month",99.950
False,40,"Month-to-month",91.550
True,40,"Month-to-month",104.500
True,11,"Month-to-month",95.000
False,6,"Month-to-month",50.350
False,30,"Month-to-month",64.500
False,27,"Month-to-month",19.400
False,70,"One year",104.800
False,57,"One year",109.400
False,58,"One year",50.300
False,16,"Month-to-month",71.400
False,69,"Two year",116.000
True,1,"Month-to-month",19.850
True,1,"Month-to-month",99.750
False,32,"Month-to-month",93.950
False,16,"Month-to-month",90.800
True,49,"One year",84.350
False,71,"Two year",58.250
False,33,"Month-to-month",107.550
False,10,"Month-to-month",19.950
True,21,"Month-to-month",111.200
True,37,"Month-to-month",40.200
False,26,"Month-to-month",85.800
False,50,"One year",35.400
True,7,"Month-to-month",73.850
False,61,"Two year",88.100
True,15,"Month-to-month",101.350
False,26,"Month-to-month",45.800
False,72,"Month-to-month",94.650
False,44,"One year",20.500
False,66,"Month-to-month",89.400
True,2,"Month-to-month",86.250
False,44,"One year",74.850
True,12,"Month-to-month",89.750
False,69,"Two year",109.950
True,1,"Month-to-month",80.200
True,3,"Month-to-month",19.850
False,2,"Month-to-month",90.350
False,27,"Month-to-month",86.450
False,26,"Month-to-month",20.300
False,39,"Month-to-month",101.250
True,25,"Month-to-month",94.700
True,1,"Month-to-month",70.900
True,22,"Month-to-month",54.200
False,72,"Two year",114.900
False,24,"Two year",19.550
False,19,"Month-to-month",86.850
False,71,"Two year",25.350
False,33,"Month-to-month",109.900
False,3,"Month-to-month",19.950
False,47,"Month-to-month",87.200
False,62,"Two year",108.150
False,71,"One year",116.300
False,7,"Month-to-month",89.000
False,27,"Month-to-month",74.400
False,2,"Month-to-month",20.050
False,25,"Two year",35.050
False,30,"Month-to-month",74.750
True,58,"One year",105.500
True,10,"Month-to-month",85.250
False,9,"Month-to-month",75.200
True,6,"Month-to-month",84.350
False,69,"One year",84.450
False,66,"Two year",102.400
True,70,"One year",115.550
True,25,"One year",25.300
False,46,"Two year",19.250
False,54,"One year",114.650
True,15,"Month-to-month",105.100
False,12,"Month-to-month",19.400
False,22,"Month-to-month",50.350
False,70,"Two year",57.800
False,30,"Month-to-month",84.300
False,71,"One year",100.550
False,30,"One year",19.800
True,4,"Month-to-month",84.800
True,2,"Month-to-month",85.850
False,10,"One year",19.950
False,4,"Month-to-month",75.350
False,52,"Month-to-month",48.800
True,5,"Month-to-month",47.150
False,8,"Two year",20.150
False,2,"Month-to-month",44.300
False,3,"Month-to-month",84.300
False,19,"Month-to-month",59.550
False,72,"Two year",69.650
False,63,"One year",36.100
False,66,"Two year",56.600
True,1,"Month-to-month",75.900
False,60,"One year",79.200
False,48,"One year",45.000
True,1,"Month-to-month",85.550
True,15,"Month-to-month",93.350
False,50,"Month-to-month",109.650
False,72,"Two year",89.700
False,46,"Month-to-month",84.250
False,72,"Two year",92.650
False,1,"Month-to-month",19.700
False,1,"Month-to-month",50.100
False,67,"Two year",92.450
False,48,"Two year",79.650
False,72,"Two year",109.900
False,52,"One year",81.400
False,67,"One year",50.550
True,28,"Month-to-month",81.050
False,32,"Month-to-month",62.450
True,27,"Month-to-month",75.200
False,3,"Month-to-month",90.400
True,2,"Month-to-month",85.650
True,9,"Month-to-month",72.900
False,50,"Two year",70.500
False,71,"Two year",20.100
True,32,"Month-to-month",74.900
False,16,"Month-to-month",100.700
False,67,"Two year",105.650
False,72,"Two year",114.300
True,3,"Month-to-month",19.750
False,23,"One year",24.350
False,72,"Two year",69.850
False,7,"Month-to-month",58.850
False,8,"Month-to-month",54.400
False,66,"Two year",50.550
True,5,"Month-to-month",21.050
True,49,"Month-to-month",103.700
False,63,"Two year",19.950
False,12,"Month-to-month",29.300
False,27,"Month-to-month",54.750
False,35,"Month-to-month",60.550
False,54,"Month-to-month",86.200
True,1,"Month-to-month",95.450
False,5,"Month-to-month",63.950
False,19,"One year",65.350
False,52,"Two year",50.200
False,72,"Two year",63.800
False,32,"Two year",20.050
True,8,"Month-to-month",101.150
False,41,"One year",65.000
False,5,"Month-to-month",19.250
False,11,"One year",36.050
True,5,"Month-to-month",96.100
False,16,"One year",19.050
False,71,"One year",105.750
False,11,"One year",40.400
True,61,"Month-to-month",99.150
False,71,"One year",84.800
False,9,"Month-to-month",19.850
False,6,"Month-to-month",49.450
True,26,"Month-to-month",88.800
False,6,"Month-to-month",55.150
False,11,"Month-to-month",84.800
True,1,"Month-to-month",80.550
False,49,"Two year",20.150
False,3,"Month-to-month",58.700
False,53,"Two year",99.500
True,23,"Month-to-month",99.850
True,2,"Month-to-month",45.350
True,1,"Month-to-month",48.550
False,3,"Two year",26.400
True,68,"Month-to-month",100.200
True,8,"Month-to-month",94.700
False,70,"One year",97.650
False,39,"One year",100.000
True,1,"Month-to-month",70.100
True,3,"Month-to-month",97.900
False,60,"One year",102.500
True,5,"Month-to-month",69.950
True,3,"Month-to-month",81.350
False,55,"One year",66.050
False,72,"Two year",61.200
False,72,"Two year",74.400
True,41,"Month-to-month",106.300
False,60,"Two year",39.600
True,6,"Month-to-month",89.300
False,46,"Two year",108.900
False,15,"Month-to-month",19.900
True,58,"Month-to-month",102.100
False,23,"Two year",19.600
True,31,"Month-to-month",98.900
False,11,"Month-to-month",45.900
False,56,"Two year",99.900
False,25,"Month-to-month",20.050
False,68,"Two year",64.350
False,40,"Two year",19.650
True,36,"Month-to-month",84.900
True,32,"Month-to-month",108.150
False,71,"Two year",86.850
False,17,"Month-to-month",102.550
False,18,"Month-to-month",78.200
False,37,"Month-to-month",91.200
False,2,"Month-to-month",19.350
False,28,"One year",70.400
False,9,"One year",39.550
False,1,"Month-to-month",50.150
False,65,"Two year",20.400
False,3,"Month-to-month",44.600
True,1,"Month-to-month",34.700
False,36,"Month-to-month",93.600
True,23,"Month-to-month",90.600
False,22,"Month-to-month",57.950
False,72,"Two year",112.100
True,17,"Month-to-month",88.250
True,3,"Month-to-month",85.800
True,58,"One year",60.300
False,67,"Two year",81.350
False,34,"One year",99.850
False,10,"Month-to-month",20.000
False,69,"Two year",85.350
False,40,"One year",62.050
False,20,"Month-to-month",64.400
False,46,"Two year",19.400
True,2,"Month-to-month",74.400
True,1,"Month-to-month",70.450
False,72,"Two year",105.000
False,70,"Two year",25.150
False,2,"Month-to-month",19.300
False,23,"Month-to-month",55.300
False,36,"Month-to-month",95.400
True,59,"Month-to-month",93.850
False,67,"Two year",20.500
False,72,"Two year",105.550
True,37,"Month-to-month",101.900
False,72,"Two year",24.450
False,72,"Two year",19.700
True,3,"Month-to-month",74.400
True,54,"One year",101.500
True,60,"Month-to-month",95.750
False,58,"One year",110.650
False,31,"Month-to-month",83.850
False,3,"Month-to-month",60.250
False,55,"Two year",59.200
True,1,"Month-to-month",44.400
False,49,"Month-to-month",85.300
True,8,"Month-to-month",25.500
False,39,"Month-to-month",99.750
False,66,"Two year",66.100
False,15,"One year",20.550
False,51,"One year",98.850
False,9,"Month-to-month",49.200
True,1,"Month-to-month",20.900
False,25,"One year",19.500
False,22,"Month-to-month",87.000
False,15,"Month-to-month",49.000
True,28,"One year",90.100
False,3,"Month-to-month",90.700
False,47,"Month-to-month",100.500
False,67,"Two year",85.250
False,18,"Month-to-month",74.700
False,62,"Two year",60.150
False,41,"One year",80.550
False,44,"Month-to-month",50.150
False,53,"One year",94.450
False,48,"Two year",20.050
False,54,"One year",115.600
