,Constituency,Name,Party,Picture
0,Khyber Pukhtunkhwa (46),Khyber Pukhtunkhwa (46),Khyber Pukhtunkhwa (46),Khyber Pukhtunkhwa (46)
1,NA-1Chitral,Moulana Abdul Akbar Chitrali,MMAP,Profile
2,NA-2Swat-I,Dr. Haider Ali Khan,PTI,Profile
3,NA-3Swat-II,Mr. Saleem Rehman,PTI,Profile
4,NA-4Swat-III,Mr. Murad Saeed,PTI,Profile
5,NA-5Upper Dir,Sahibzada Sibghatullah,PTI,Profile
6,NA-6Lower Dir-I,Mr. Mehboob Shah,PTI,Profile
7,NA-7Lower Dir-II,Mr. Muhammad Bashir Khan,PTI,Profile
8,NA-8Malakand Protected Area,Mr. Junaid Akbar,PTI,Profile
9,NA-9Buner,Mr. Sher Akbar Khan,PTI,Profile
10,NA-10Shangla,Mr. Ibadullah Khan,PML-N,Profile
11,NA-11Kohistan-cum-Lower Kohistan-cum-Kolai Pallas Kohistan,Mr. Afreen Khan,MMAP,Profile
12,NA-12Battagram,Prince Muhammad Nawaz Allai,PTI,Profile
13,NA-13Mansehra-I,Mr. Saleh Muhammad,PTI,Profile
14,NA-14Mansehra-cum-Torghar,Mr. Muhammad Sajjad,PML-N,Profile
15,NA-15Abbottabad-I,Mr. Murtaza Javed Abbasi,PML-N,Profile
16,NA-16Abbottabad-II,Mr. Ali Khan Jadoon,PTI,Profile
17,NA-17Haripur-I,Mr. Omar Ayub Khan,PTI,Profile
18,NA-18Swabi-I,Mr. Asad Qaiser,PTI,Profile
19,NA-19Swabi-II,Engr. Usman Khan Tarakai,PTI,Profile
20,NA-20Mardan-I,Mr. Mujahid Ali,PTI,Profile
21,NA-21Mardan-II,Mr. Amir Haider Azam Khan,ANP,Profile
22,NA-23Charsadda-I,Mr. Malik Anwar Taj,PTI,Profile
23,NA-25Nowshera-I,Mr. Pervez Khattak,PTI,Profile
24,NA-26Nowshera-II,Mr. Imran Khattak,PTI,Profile
25,NA-27Peshawar-I,Mr. Noor Alam Khan,PTI,Profile
26,NA-28Peshawar-II,Mr. Arbab Amir Ayub,PTI,Profile
27,NA-29Peshawar-III,Mr. Nasir Khan Musazai,PTI,Profile
28,NA-30Peshawar-IV,Mr. Sher Ali Arbab,PTI,Profile
29,NA-32Kohat,Mr. Shehryar Afridi,PTI,Profile
30,NA-34Karak,Mr. Shahid Ahmad,PTI,Profile
31,NA-35Bannu,"Mr. Zahid Akram Durrani, Deputy Speaker National Assembly",MMAP,Profile
32,NA-36Lakki Marwat,Mr. Muhammad Anwar,MMAP,Profile
33,NA-37Tank,Mr. Asad Mahmood,MMAP,Profile
34,NA-38Dera Ismail Khan-I,Mr. Ali Amin Khan,PTI,Profile
35,NA-39Dera Ismail Khan-II,Mr. Muhammad Yaqoob Shaikh,PTI,Profile
36,NA-40Bajaur Agency-I Tribal Area-I,Mr. Gul Dad Khan,PTI,Profile
37,NA-41Bajaur Agency-II Tribal Area-II,Mr. Gul Zafar Khan,PTI,Profile
38,NA-42Mohmand Agency Tribal Area-III,Mr. Sajid Khan,PTI,Profile
39,NA-43Khyber Agency-I Tribal Area-IV,Mr. Noor-Ul-Haq Qadri,PTI,Profile
40,NA-44Khyber Agency-II Tribal Area-V,Mr. Muhammad Iqbal Khan,PTI,Profile
41,NA-46Kurram Agency-II Tribal Area-VII,Mr. Sajid Hussain Turi,PPPP,Profile
42,NA-47Orakzai Agency Tribal Area-VIII,Mr. Jawad Hussain,PTI,Profile
43,NA-48North Waziristan Agency Tribal Area-IX,Mr. Mohsin Dawar,Ind,Profile
44,NA-49South Waziristan Agency-I Tribal Area-X,Mr. Muhammad Jamal Ud Din,MMAP,Profile
45,NA-50South Waziristan Agency-II Tribal Area-XI,Ali Wazir,Ind,Profile
46,NA-51FR Tribal Area-XII,Mr. Abdul Shakoor,MMAP,Profile
47,Federal (3),Federal (3),Federal (3),Federal (3)
48,NA-52ICT-I,Raja Khurram Shahzad Nawaz,PTI,Profile
49,NA-53ICT-II,Mr. Ali Nawaz Awan,PTI,Profile
50,NA-54ICT-III,Mr. Asad Umer,PTI,Profile
51,Punjab (138),Punjab (138),Punjab (138),Punjab (138)
52,NA-55Attock-I,Mr. Tahir Sadiq,PTI,Profile
53,NA-56Attock-II,Malik Sohail Khan,PML-N,Profile
54,NA-57Rawalpindi-I,Mr. Sadaqat Ali Khan,PTI,Profile
55,NA-58Rawalpindi-II,"Raja Pervaiz Ashraf, Speaker National Assembly",PPPP,Profile
56,NA-59Rawalpindi-III,Mr. Ghulam Sarwar Khan,PTI,Profile
57,NA-60Rawalpindi-IV,Sheikh Rashid Shafique,PTI,Profile
58,NA-61Rawalpindi-V,Mr. Aamer Mehmood Kiani,PTI,Profile
59,NA-62Rawalpindi-VI,Sheikh Rashid Ahmed,AMLP,Profile
60,NA-63Rawalpindi-VII,Mr. Mansoor Hayat Khan,PTI,Profile
